gym,,2221,10.877736817473439
sauna,,130,3.0480753829567844
soccer,,2303,29.774243440135688
stair stepper,,39,0.004341408117160082
swimming,,103,2.8631079106859803
treadmill,,1174,6.349974887585558
weights,,413,11.02168436663974
yoga,,2206,15.356309461053314
gym,sauna,81,1.5179093220783049
gym,stair stepper,32,0.004341408113418584
gym,swimming,59,0.03184097589185048
gym,treadmill,787,4.154029487039214
gym,weights,328,7.244052938086298
gym,yoga,108,1.588871993242983
sauna,stair stepper,1,0.00000000000010536483400228522
sauna,treadmill,26,1.5169270038283913
sauna,weights,7,1.517907291866475
sauna,yoga,8,0.7541676517637507
stair stepper,swimming,8,0.004309627548644647
stair stepper,treadmill,18,0.0041858495949939805
stair stepper,weights,6,0.0043408264776252465
stair stepper,yoga,5,0.0000000000006966064533238444
swimming,treadmill,33,0.030918103592257096
swimming,weights,48,2.8631079106855495
swimming,yoga,9,0.00000000000023756217411664663
treadmill,weights,137,4.142488592748752
treadmill,yoga,104,2.3665274435808503
weights,yoga,9,1.5888439985654688
