tag_1,tag_2,use_count,recent_use_count
gym,,1131,10.827385311760805
sauna,,83,3.033966272979887
soccer,,1465,30.633301347889365
stair stepper,,29,0.0043213123528221455
swimming,,54,2.8498549889854656
treadmill,,570,6.32058175166102
weights,,413,10.970666548074925
yoga,,611,15.28522727580398
gym,sauna,39,1.5108831344453117
gym,stair stepper,25,0.0043213123490979674
gym,swimming,15,0.03169358851647853
gym,treadmill,409,4.134801071886614
gym,weights,328,7.210521241280696
gym,yoga,55,1.581517329438661
sauna,stair stepper,1,0.00000000000010487711508334144
sauna,treadmill,19,1.5099053632076864
sauna,weights,7,1.5108811136310463
sauna,yoga,6,0.7506767163363496
stair stepper,swimming,4,0.004289678892065058
stair stepper,treadmill,15,0.004166473889060557
stair stepper,weights,6,0.004320733405614658
stair stepper,yoga,1,0.0000000000006933819605449322
swimming,treadmill,9,0.03077498806227401
swimming,weights,48,2.849854988985037
swimming,yoga,3,0.00000000000023646253240183667
treadmill,weights,137,4.123313598764043
treadmill,yoga,56,2.355573122650494
weights,yoga,9,1.581489464344551
